,2023-07-28 05:00:00+00:00,2023-07-29 05:00:00+00:00
BPOS_Validity,100.0,100.0
BPOS_Frequency,99.98842391618915,100.0
BPOS_Consistency,100.0,100.0
BPOS_Uniqueness,100.0,100.0
DBTM_Validity,100.0,100.0
DBTM_Frequency,99.98842391618915,100.0
DBTM_Consistency,100.0,100.0
DBTM_Uniqueness,100.0,100.0
DBTM_Accuracy,99.99421195809458,100.0
DMEA_Validity,100.0,100.0
DMEA_Frequency,99.98842391618915,100.0
DMEA_Consistency,100.0,100.0
DMEA_Uniqueness,100.0,100.0
HKLA_Validity,100.0,100.0
HKLA_Frequency,99.98842391618915,100.0
HKLA_Consistency,100.0,100.0
HKLA_Uniqueness,100.0,100.0
MFIA_Validity,100.0,100.0
MFIA_Frequency,99.98842391618915,100.0
MFIA_Consistency,100.0,100.0
MFIA_Uniqueness,100.0,100.0
RPMA_Validity,100.0,100.0
RPMA_Frequency,99.98842391618915,100.0
RPMA_Consistency,100.0,100.0
RPMA_Uniqueness,100.0,100.0
SPPA_Validity,100.0,100.0
SPPA_Frequency,99.98842391618915,100.0
SPPA_Consistency,100.0,100.0
SPPA_Uniqueness,100.0,100.0
TQA_Validity,99.54274468947155,99.90161467677527
TQA_Frequency,99.98842391618915,100.0
TQA_Consistency,100.0,100.0
TQA_Uniqueness,100.0,100.0
TV01_Validity,100.0,100.0
TV01_Frequency,99.98842391618915,100.0
TV01_Consistency,100.0,100.0
TV01_Uniqueness,100.0,100.0
TVT_Validity,100.0,100.0
TVT_Frequency,99.98842391618915,100.0
TVT_Consistency,100.0,100.0
TVT_Uniqueness,100.0,100.0
WOBA_Validity,100.0,100.0
WOBA_Frequency,99.98842391618915,100.0
WOBA_Consistency,100.0,100.0
WOBA_Uniqueness,49.528274584707994,0.0
Completeness,99.98842391618915,100.0
