,Validity,Frequency,Consistency,Completeness,Uniqueness,Accuracy,Overall Score
2023-07-28 05:00:00+00:00,100.0,99.86,100.0,99.86,90.91,99.86,99.47
2023-07-28 06:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-28 07:00:00+00:00,100.0,100.0,100.0,100.0,93.75,100.0,99.69
2023-07-28 08:00:00+00:00,100.0,100.0,100.0,100.0,98.76,100.0,99.94
2023-07-28 09:00:00+00:00,100.0,100.0,100.0,100.0,94.3,100.0,99.72
2023-07-28 10:00:00+00:00,100.0,99.86,100.0,99.86,94.88,100.0,99.7
2023-07-28 11:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-28 12:00:00+00:00,100.0,100.0,100.0,100.0,97.76,100.0,99.89
2023-07-28 13:00:00+00:00,100.0,100.0,100.0,100.0,98.48,100.0,99.92
2023-07-28 14:00:00+00:00,100.0,100.0,100.0,100.0,98.32,100.0,99.92
2023-07-28 15:00:00+00:00,100.0,100.0,100.0,100.0,98.91,100.0,99.95
2023-07-28 16:00:00+00:00,99.97,100.0,100.0,100.0,96.69,100.0,99.82
2023-07-28 17:00:00+00:00,99.94,100.0,100.0,100.0,98.56,100.0,99.91
2023-07-28 18:00:00+00:00,99.89,100.0,100.0,100.0,98.23,100.0,99.87
2023-07-28 19:00:00+00:00,99.85,100.0,100.0,100.0,98.26,100.0,99.86
2023-07-28 20:00:00+00:00,99.79,100.0,100.0,100.0,98.42,100.0,99.85
2023-07-28 21:00:00+00:00,100.0,100.0,100.0,100.0,93.6,100.0,99.68
2023-07-28 22:00:00+00:00,99.91,100.0,100.0,100.0,98.7,100.0,99.9
2023-07-28 23:00:00+00:00,99.84,100.0,100.0,100.0,99.48,100.0,99.92
2023-07-29 00:00:00+00:00,99.82,100.0,100.0,100.0,96.45,100.0,99.76
2023-07-29 01:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 02:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 03:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 04:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 05:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 06:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 07:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 08:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 09:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 10:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 11:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 12:00:00+00:00,99.99,100.0,100.0,100.0,90.91,100.0,99.54
2023-07-29 13:00:00+00:00,99.91,100.0,100.0,100.0,90.91,100.0,99.51
2023-07-29 14:00:00+00:00,99.97,100.0,100.0,100.0,90.91,100.0,99.54
2023-07-29 15:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 16:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 17:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 18:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 19:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 20:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 21:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 22:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-29 23:00:00+00:00,99.91,100.0,100.0,100.0,90.91,100.0,99.51
2023-07-30 00:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-30 01:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-30 02:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-30 03:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-07-30 04:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
Weightage (%),35.0,25.0,5.0,5.0,5.0,25.0,100.0
