Time,Log1,Log2
,BitDepth,BitDepth
2019-10-10T22:55:00.0000000Z,9730.01,9730.01
2019-10-10T22:55:01.0000000Z,9729.95,9729.95
2019-10-10T22:55:02.0000000Z,,
2019-10-10T22:55:03.0000000Z,9729.89,9729.89
2019-10-10T22:55:04.0000000Z,9729.76,9729.76
2019-10-10T22:55:05.0000000Z,9729.7,9729.7
2019-10-10T22:55:06.0000000Z,9729.63,9729.63
2019-10-10T22:55:07.0000000Z,,
2019-10-10T22:55:08.0000000Z,9729.56,9729.56
2019-10-10T22:55:09.0000000Z,9729.43,9729.43
2019-10-10T22:55:10.0000000Z,9729.36,9729.36
2019-10-10T22:55:11.0000000Z,9729.29,9729.29
2019-10-10T22:55:12.0000000Z,,
2019-10-10T22:55:13.0000000Z,9729.23,9729.23
2019-10-10T22:55:14.0000000Z,9729.09,9729.09
2019-10-10T22:55:15.0000000Z,9729.03,9729.03
2019-10-10T22:55:16.0000000Z,9728.96,9728.96
2019-10-10T22:55:17.0000000Z,9728.89,9728.89
2019-10-10T22:55:18.0000000Z,,
2019-10-10T22:55:19.0000000Z,9728.82,9728.82
2019-10-10T22:55:20.0000000Z,9728.69,9728.69
2019-10-10T22:55:21.0000000Z,9728.62,9728.62
2019-10-10T22:55:22.0000000Z,9728.55,9728.55
2019-10-10T22:55:23.0000000Z,,
2019-10-10T22:55:24.0000000Z,9728.48,9728.48
2019-10-10T22:55:25.0000000Z,9728.35,9728.35
,,
