Time,BitDepth,Block Position
2020-03-08T19:00:30.8920000Z,1723.97,31.13524246
2020-03-08T19:00:31.9050000Z,1723.97,31.13952827
2020-03-08T19:00:32.9150000Z,1723.96,31.14069176
2020-03-08T19:00:33.9240000Z,1723.97,31.13443947
2020-03-08T19:00:34.9310000Z,1723.96,31.14541626
2020-03-08T19:00:35.9410000Z,1723.97,31.13975906
2020-03-08T19:00:36.9489998Z,1723.97,31.13979149
2020-03-08T19:00:37.9600000Z,1723.96,31.14193916
2020-03-08T19:00:38.9670000Z,1723.98,31.12912178
2020-03-08T19:00:39.9780000Z,1723.97,31.13228798
2020-03-08T19:00:40.9880000Z,1723.97,31.13576698
2020-03-08T19:00:41.9940000Z,1723.96,31.14109421
2020-03-08T19:00:43.0030000Z,1723.97,31.13148308
2020-03-08T19:00:44.0110000Z,1723.97,31.13122177
2020-03-08T19:00:45.0179998Z,1723.97,31.1373024
