,Validity,Frequency,Consistency,Completeness,Uniqueness,Accuracy,Overall Score
2023-08-04 00:00:00+00:00,100.0,99.86,100.0,99.86,29.67,99.86,96.41
2023-08-04 01:00:00+00:00,100.0,100.0,100.0,100.0,32.22,100.0,96.61
2023-08-04 02:00:00+00:00,100.0,100.0,100.0,100.0,88.1,100.0,99.4
2023-08-04 03:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-08-04 04:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-08-04 05:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-08-04 06:00:00+00:00,100.0,99.86,100.0,99.86,90.91,100.0,99.5
2023-08-04 07:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-08-04 08:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
2023-08-04 09:00:00+00:00,100.0,100.0,100.0,100.0,90.91,100.0,99.55
Weightage (%),35.0,25.0,5.0,5.0,5.0,25.0,100.0
