,2023-08-04 00:00:00+00:00,2023-08-04 01:00:00+00:00,2023-08-04 02:00:00+00:00,2023-08-04 03:00:00+00:00,2023-08-04 04:00:00+00:00,2023-08-04 05:00:00+00:00,2023-08-04 06:00:00+00:00,2023-08-04 07:00:00+00:00,2023-08-04 08:00:00+00:00,2023-08-04 09:00:00+00:00
BPOS_Validity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BPOS_Frequency,99.86111111111111,100.0,100.0,100.0,100.0,100.0,99.8567335243553,100.0,100.0,100.0
BPOS_Consistency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BPOS_Uniqueness,33.19444444444444,44.645340751043115,98.19193324061196,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DBTM_Validity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DBTM_Frequency,99.86111111111111,100.0,100.0,100.0,100.0,100.0,99.8567335243553,100.0,100.0,100.0
DBTM_Consistency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DBTM_Uniqueness,13.194444444444445,16.133518776077885,95.54937413073714,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DBTM_Accuracy,99.86111111111111,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DMEA_Validity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DMEA_Frequency,99.86111111111111,100.0,100.0,100.0,100.0,100.0,99.8567335243553,100.0,100.0,100.0
DMEA_Consistency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DMEA_Uniqueness,0.1388888888888889,0.0,95.13212795549374,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HKLA_Validity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HKLA_Frequency,99.86111111111111,100.0,100.0,100.0,100.0,100.0,99.8567335243553,100.0,100.0,100.0
HKLA_Consistency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HKLA_Uniqueness,78.05555555555556,87.20445062586927,99.86091794158554,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MFIA_Validity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MFIA_Frequency,99.86111111111111,100.0,100.0,100.0,100.0,100.0,99.8567335243553,100.0,100.0,100.0
MFIA_Consistency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MFIA_Uniqueness,4.444444444444445,10.013908205841446,95.13212795549374,100.0,100.0,100.0,100.0,100.0,100.0,100.0
RPMA_Validity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
RPMA_Frequency,99.86111111111111,100.0,100.0,100.0,100.0,100.0,99.8567335243553,100.0,100.0,100.0
RPMA_Consistency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
RPMA_Uniqueness,0.0,0.0,95.13212795549374,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SPPA_Validity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SPPA_Frequency,99.86111111111111,100.0,100.0,100.0,100.0,100.0,99.8567335243553,100.0,100.0,100.0
SPPA_Consistency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SPPA_Uniqueness,0.0,0.0,95.13212795549374,100.0,100.0,100.0,100.0,100.0,100.0,100.0
TQA_Validity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
TQA_Frequency,99.86111111111111,100.0,100.0,100.0,100.0,100.0,99.8567335243553,100.0,100.0,100.0
TQA_Consistency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
TQA_Uniqueness,0.0,0.0,95.13212795549374,100.0,100.0,100.0,100.0,100.0,100.0,100.0
TV01_Validity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
TV01_Frequency,99.86111111111111,100.0,100.0,100.0,100.0,100.0,99.8567335243553,100.0,100.0,100.0
TV01_Consistency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
TV01_Uniqueness,97.77777777777777,97.2183588317107,99.86091794158554,100.0,100.0,100.0,100.0,100.0,100.0,100.0
TVT_Validity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
TVT_Frequency,99.86111111111111,100.0,100.0,100.0,100.0,100.0,99.8567335243553,100.0,100.0,100.0
TVT_Consistency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
TVT_Uniqueness,99.58333333333333,99.16550764951322,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
WOBA_Validity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
WOBA_Frequency,99.86111111111111,100.0,100.0,100.0,100.0,100.0,99.8567335243553,100.0,100.0,100.0
WOBA_Consistency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
WOBA_Uniqueness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Completeness,99.86111111111111,100.0,100.0,100.0,100.0,100.0,99.8567335243553,100.0,100.0,100.0
