Time,BPOS,DBTM,DMEA,HKLA,MFIA,RPMA,SPPA,TQA,TV01,TVT,WOBA
2023-08-04T00:00:00.0000000Z,0.32,917.14,4883.01,24.52,0,0,0,0,18.36,81.85,0
2023-08-04T00:00:05.0000000Z,0.32,917.14,4883.01,24.515,0,0,0,0,18.255,81.685,0
2023-08-04T00:00:10.0000000Z,0.32,917.14,4883.01,24.5233,0,0,0,0,18.3633,81.82,0
2023-08-04T00:00:15.0000000Z,0.32,917.14,4883.01,24.52,0,0,0,0,18.175,81.675,0
2023-08-04T00:00:20.0000000Z,0.32,917.14,4883.01,24.52,0,0,0,0,18.1667,81.6767,0
2023-08-04T00:00:25.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.215,81.77,0
2023-08-04T00:00:30.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.24,81.77,0
2023-08-04T00:00:35.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.0467,81.4133,0
2023-08-04T00:00:40.0000000Z,0.32,917.14,4883.01,24.52,0,0,0,0,18.25,81.8,0
2023-08-04T00:00:45.0000000Z,0.32,917.14,4883.01,24.52,0,0,0,0,17.95,81.52,0
2023-08-04T00:00:50.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.23,81.7,0
2023-08-04T00:00:55.0000000Z,0.32,917.14,4883.01,24.525,0,0,0,0,18.285,81.88,0
2023-08-04T00:01:00.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.46,82.03,0
2023-08-04T00:01:05.0000000Z,0.32,917.14,4883.01,24.525,0,0,0,0,18.235,81.76,0
2023-08-04T00:01:10.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.2933,81.8533,0
2023-08-04T00:01:15.0000000Z,0.32,917.14,4883.01,24.525,0,0,0,0,18.285,81.875,0
2023-08-04T00:01:20.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.17,81.75,0
2023-08-04T00:01:25.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.06,81.675,0
2023-08-04T00:01:30.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.15,81.71,0
2023-08-04T00:01:35.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.2,81.745,0
2023-08-04T00:01:40.0000000Z,0.32,917.14,4883.01,24.54,0,0,0,0,18.05,81.1,0
2023-08-04T00:01:45.0000000Z,0.32,917.14,4883.01,24.535,0,0,0,0,18.19,81.675,0
2023-08-04T00:01:50.0000000Z,0.32,917.14,4883.01,24.52,0,0,0,0,18.36,82,0
2023-08-04T00:01:55.0000000Z,0.32,917.14,4883.01,24.525,0,0,0,0,18.065,81.615,0
2023-08-04T00:02:00.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.13,81.69,0
2023-08-04T00:02:05.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.155,81.71,0
2023-08-04T00:02:10.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.18,81.7,0
2023-08-04T00:02:15.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.45,81.985,0
2023-08-04T00:02:20.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.28,81.9,0
2023-08-04T00:02:25.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,17.98,81.605,0
2023-08-04T00:02:30.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.08,81.71,0
2023-08-04T00:02:35.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.18,81.785,0
2023-08-04T00:02:40.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.47,82,0
2023-08-04T00:02:45.0000000Z,0.32,917.14,4883.01,24.52,0,0,0,0,18.345,81.97,0
2023-08-04T00:02:50.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.49,81.9167,0
2023-08-04T00:02:55.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.615,81.655,0
2023-08-04T00:03:00.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.3,81.82,0
2023-08-04T00:03:05.0000000Z,0.32,917.14,4883.01,24.525,0,0,0,0,18.425,81.69,0
2023-08-04T00:03:10.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.74,81.75,0
2023-08-04T00:03:15.0000000Z,0.32,917.14,4883.01,24.535,0,0,0,0,18.535,82.13,0
2023-08-04T00:03:20.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.48,82.12,0
2023-08-04T00:03:25.0000000Z,0.32,917.14,4883.01,24.525,0,0,0,0,18.57,82.14,0
2023-08-04T00:03:30.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.34,82.02,0
2023-08-04T00:03:35.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.675,82.27,0
2023-08-04T00:03:40.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.32,82.03,0
2023-08-04T00:03:45.0000000Z,0.32,917.14,4883.01,24.53,0,0,0,0,18.45,82.055,0
2023-08-04T00:03:50.0000000Z,0.32,917.14,4883.01,24.54,0,0,0,0,18.62,82.2,0
2023-08-04T00:03:55.0000000Z,0.32,917.14,4883.01,24.535,0,0,0,0,18.73,82.005,0
2023-08-04T00:04:00.0000000Z,0.32,917.14,4883.01,24.54,0,0,0,0,18.98,82.5,0
2023-08-04T00:04:05.0000000Z,0.32,917.14,4883.01,24.54,0,0,0,0,18.73,82.325,0
2023-08-04T00:04:10.0000000Z,0.32,917.14,4883.01,24.54,0,0,0,0,18.69,82.32,0
2023-08-04T00:04:15.0000000Z,0.32,917.14,4883.01,24.54,0,0,0,0,18.835,82.43,0
2023-08-04T00:04:20.0000000Z,0.32,917.14,4883.01,24.54,0,0,0,0,18.86,81.89,0
