,Time,BDEP,Validity_1,Frequency_1,Consistency_1,Uniqueness_1,Accuracy_1,BHT,Validity_2,Frequency_2,Consistency_2,Uniqueness_2,Accuracy_2,CTOR,Validity_3,Frequency_3,Consistency_3,Uniqueness_3,DEPT,Validity_4,Frequency_4,Consistency_4,Uniqueness_4,RPM,Validity_5,Frequency_5,Consistency_5,Uniqueness_5,Completeness
0,2023-04-15T12:00:00.0000000-05:00,8109.15,True,False,True,True,,30.35,True,False,True,True,,5.765,True,False,True,True,8121.13,True,False,True,True,25.07,True,False,True,True,False
1,2023-04-15T12:00:01.0000000-05:00,8109.15,True,True,True,False,True,30.35,True,True,True,False,True,5.805,True,True,True,True,8121.13,True,True,True,False,24.99,True,True,True,True,True
2,2023-04-15T12:00:02.0000000-05:00,8109.15,True,True,True,False,True,30.35,True,True,True,False,True,5.839,True,True,True,True,8121.13,True,True,True,False,24.96,True,True,True,True,True
3,2023-04-15T12:00:03.0000000-05:00,8109.15,True,True,True,False,True,30.35,True,True,True,False,True,5.867,True,True,True,True,8121.13,True,True,True,False,24.96,True,True,True,False,True
4,2023-04-15T12:00:04.0000000-05:00,8109.15,True,True,True,False,True,30.35,True,True,True,False,True,5.901,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
5,2023-04-15T12:00:05.0000000-05:00,8109.15,True,True,True,False,True,30.35,True,True,True,False,True,6.05,True,True,True,True,8121.13,True,True,True,False,24.96,True,True,True,True,True
6,2023-04-15T12:00:06.0000000-05:00,8109.15,True,True,True,False,True,30.35,True,True,True,False,True,5.908,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
7,2023-04-15T12:00:07.0000000-05:00,8109.15,True,True,True,False,True,30.35,True,True,True,False,True,5.826,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,False,True
8,2023-04-15T12:00:08.0000000-05:00,8109.15,True,True,True,False,True,30.35,True,True,True,False,True,6.03,True,True,True,True,8121.13,True,True,True,False,25.01,True,True,True,True,True
9,2023-04-15T12:00:09.0000000-05:00,8109.15,True,True,True,False,True,30.35,True,True,True,False,True,6.105,True,True,True,True,8121.13,True,True,True,False,24.99,True,True,True,True,True
10,2023-04-15T12:00:10.0000000-05:00,8109.15,True,True,True,False,True,30.35,True,True,True,False,True,6.105,True,True,True,False,8121.13,True,True,True,False,25.03,True,True,True,True,True
11,2023-04-15T12:00:11.0000000-05:00,8109.15,True,True,True,False,True,30.35,True,True,True,False,True,5.717,True,True,True,True,8121.13,True,True,True,False,24.99,True,True,True,True,True
12,2023-04-15T12:00:12.0000000-05:00,8109.15,True,True,True,False,True,30.35,True,True,True,False,True,6.261,True,True,True,True,8121.13,True,True,True,False,24.96,True,True,True,True,True
13,2023-04-15T12:00:13.0000000-05:00,8109.15,True,True,True,False,True,30.35,True,True,True,False,True,6.261,True,True,True,False,8121.13,True,True,True,False,24.99,True,True,True,True,True
14,2023-04-15T12:00:14.0000000-05:00,8109.32,True,True,True,True,False,30.27,True,True,True,True,False,5.602,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
15,2023-04-15T12:00:15.0000000-05:00,8109.42,True,True,True,True,False,30.16,True,True,True,True,False,5.5,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
16,2023-04-15T12:00:16.0000000-05:00,8109.55,True,True,True,True,False,30.05,True,True,True,True,False,5.459,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
17,2023-04-15T12:00:17.0000000-05:00,8109.68,True,True,True,True,False,29.92,True,True,True,True,False,5.574,True,True,True,True,8121.13,True,True,True,False,24.99,True,True,True,True,True
18,2023-04-15T12:00:18.0000000-05:00,8109.78,True,True,True,True,False,29.81,True,True,True,True,False,5.574,True,True,True,False,8121.13,True,True,True,False,24.96,True,True,True,True,True
19,2023-04-15T12:00:19.0000000-05:00,8109.94,True,True,True,True,False,29.67,True,True,True,True,False,5.214,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
20,2023-04-15T12:00:20.0000000-05:00,8110.04,True,True,True,True,False,29.54,True,True,True,True,False,5.296,True,True,True,True,8121.13,True,True,True,False,25.11,True,True,True,True,True
21,2023-04-15T12:00:21.0000000-05:00,8110.17,True,True,True,True,False,29.4,True,True,True,True,False,5.5,True,True,True,True,8121.13,True,True,True,False,25.01,True,True,True,True,True
22,2023-04-15T12:00:22.0000000-05:00,8110.3,True,True,True,True,False,29.29,True,True,True,True,False,5.479,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
23,2023-04-15T12:00:23.0000000-05:00,8110.43,True,True,True,True,False,29.16,True,True,True,True,False,5.166,True,True,True,True,8121.13,True,True,True,False,24.99,True,True,True,True,True
24,2023-04-15T12:00:24.0000000-05:00,8110.53,True,True,True,True,False,29.05,True,True,True,True,False,5.486,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
25,2023-04-15T12:00:25.0000000-05:00,8110.66,True,True,True,True,False,28.94,True,True,True,True,False,5.67,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
26,2023-04-15T12:00:26.0000000-05:00,8110.76,True,True,True,True,False,28.81,True,True,True,True,False,5.472,True,True,True,True,8121.13,True,True,True,False,24.99,True,True,True,True,True
27,2023-04-15T12:00:27.0000000-05:00,8110.89,True,True,True,True,False,28.7,True,True,True,True,False,5.561,True,True,True,True,8121.13,True,True,True,False,24.99,True,True,True,False,True
28,2023-04-15T12:00:28.0000000-05:00,8111.02,True,True,True,True,False,28.56,True,True,True,True,False,5.656,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
29,2023-04-15T12:00:29.0000000-05:00,8111.16,True,True,True,True,False,28.43,True,True,True,True,False,5.479,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,False,True
30,2023-04-15T12:00:30.0000000-05:00,8111.29,True,True,True,True,False,28.29,True,True,True,True,False,5.649,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,False,True
31,2023-04-15T12:00:31.0000000-05:00,8111.42,True,True,True,True,False,28.19,True,True,True,True,False,5.656,True,True,True,True,8121.13,True,True,True,False,24.99,True,True,True,True,True
32,2023-04-15T12:00:32.0000000-05:00,8111.52,True,True,True,True,False,28.08,True,True,True,True,False,5.404,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
33,2023-04-15T12:00:33.0000000-05:00,8111.61,True,True,True,True,False,27.94,True,True,True,True,False,5.71,True,True,True,True,8121.13,True,True,True,False,24.96,True,True,True,True,True
34,2023-04-15T12:00:34.0000000-05:00,8111.78,True,True,True,True,False,27.83,True,True,True,True,False,5.71,True,True,True,False,8121.13,True,True,True,False,24.96,True,True,True,False,True
35,2023-04-15T12:00:35.0000000-05:00,8111.88,True,True,True,True,False,27.7,True,True,True,True,False,5.166,True,True,True,True,8121.13,True,True,True,False,25.11,True,True,True,True,True
36,2023-04-15T12:00:36.0000000-05:00,8112.01,True,True,True,True,False,27.56,True,True,True,True,False,5.404,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
37,2023-04-15T12:00:37.0000000-05:00,8112.14,True,True,True,True,False,27.43,True,True,True,True,False,5.602,True,True,True,True,8121.13,True,True,True,False,24.99,True,True,True,True,True
38,2023-04-15T12:00:38.0000000-05:00,8112.27,True,True,True,True,False,27.32,True,True,True,True,False,5.5,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
39,2023-04-15T12:00:39.0000000-05:00,8112.4,True,True,True,True,False,27.21,True,True,True,True,False,5.676,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
40,2023-04-15T12:00:40.0000000-05:00,8112.5,True,True,True,True,False,27.1,True,True,True,True,False,5.445,True,True,True,True,8121.13,True,True,True,False,25.13,True,True,True,True,True
41,2023-04-15T12:00:41.0000000-05:00,8112.6,True,True,True,True,False,26.97,True,True,True,True,False,5.33,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
42,2023-04-15T12:00:42.0000000-05:00,8112.73,True,True,True,True,False,26.83,True,True,True,True,False,5.398,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
43,2023-04-15T12:00:43.0000000-05:00,8112.86,True,True,True,True,False,26.7,True,True,True,True,False,5.459,True,True,True,True,8121.13,True,True,True,False,25.01,True,True,True,True,True
44,2023-04-15T12:00:44.0000000-05:00,8112.99,True,True,True,True,False,26.59,True,True,True,True,False,5.16,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
45,2023-04-15T12:00:45.0000000-05:00,8113.16,True,True,True,True,False,26.46,True,True,True,True,False,5.479,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
46,2023-04-15T12:00:46.0000000-05:00,8113.25,True,True,True,True,False,26.35,True,True,True,True,False,5.561,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
