Time,BPOS,DBTM,DMEA,HKLA,MFIA,RPMA,SPPA,TQA,TV01,TVT,WOBA
2023-07-28T05:00:00.0000000Z,29.93,4751.42,4752,174.87,111.6,0,710.085,0,33.615,106.1,0
2023-07-28T05:00:05.0000000Z,29.93,4751.42,4752,174.86,110.22,0,712.02,0,33.73,106.31,0
2023-07-28T05:00:10.0000000Z,29.93,4751.42,4752,174.885,111.6,0,712.02,0,33.325,106.03,0
2023-07-28T05:00:15.0000000Z,29.93,4751.42,4752,174.87,112.98,0,713.31,0,33.94,106.57,0
2023-07-28T05:00:20.0000000Z,29.93,4751.42,4752,174.86,110.22,0,710.085,0,34.42,107.045,0
2023-07-28T05:00:25.0000000Z,29.93,4751.42,4752,174.86,110.22,0,712.02,0,33.05,105.81,0
2023-07-28T05:00:30.0000000Z,29.93,4751.42,4752,174.89,111.6,0,710.73,0,34.11,106.94,0
2023-07-28T05:00:35.0000000Z,29.93,4751.42,4752,174.91,110.22,0,709.44,0,34.01,106.2,0
2023-07-28T05:00:40.0000000Z,29.93,4751.42,4752,174.875,110.22,0,710.73,0,34.095,106.73,0
2023-07-28T05:00:45.0000000Z,29.93,4751.42,4752,174.88,110.22,0,709.44,0,33.53,106.34,0
2023-07-28T05:00:50.0000000Z,29.93,4751.42,4752,174.885,110.22,0,712.02,0,34.13,106.71,0
2023-07-28T05:00:55.0000000Z,29.93,4751.42,4752,174.86,112.98,0,712.02,0,33.43,105.92,0
2023-07-28T05:01:00.0000000Z,29.93,4751.42,4752,174.9,110.22,0,709.44,0,33.955,106.55,0
2023-07-28T05:01:05.0000000Z,29.93,4751.42,4752,174.91,110.22,0,712.02,0,34.08,106.74,0
2023-07-28T05:01:10.0000000Z,29.93,4751.42,4752,174.885,111.6,0,709.44,0,33.735,106.435,0
2023-07-28T05:01:15.0000000Z,29.93,4751.42,4752,174.92,110.22,0,710.73,0,33.46,106.28,0
2023-07-28T05:01:20.0000000Z,29.93,4751.42,4752,174.89,111.6,0,710.085,0,33.63,106.18,0
2023-07-28T05:01:25.0000000Z,29.93,4751.42,4752,174.93,110.22,0,712.02,0,33.97,106.36,0
2023-07-28T05:01:30.0000000Z,29.93,4751.42,4752,174.895,110.22,0,710.73,0,34.575,107.085,0
2023-07-28T05:01:35.0000000Z,29.93,4751.42,4752,174.88,110.22,0,710.73,0,33.15,105.8,0
2023-07-28T05:01:40.0000000Z,29.93,4751.42,4752,174.8633,110.22,0,711.16,0,33.96,106.6767,0
2023-07-28T05:01:45.0000000Z,29.93,4751.42,4752,174.84,110.22,0,710.73,0,33.32,105.97,0
2023-07-28T05:01:50.0000000Z,29.93,4751.42,4752,174.85,111.6,0,710.085,0,33.855,106.455,0
2023-07-28T05:01:55.0000000Z,29.93,4751.42,4752,174.91,110.22,0,710.73,0,33.77,106.75,0
2023-07-28T05:02:00.0000000Z,29.93,4751.42,4752,174.855,110.22,0,711.375,0,34.435,107.17,0
2023-07-28T05:02:05.0000000Z,29.93,4751.42,4752,174.89,110.22,0,713.31,0,33.36,105.73,0
2023-07-28T05:02:10.0000000Z,29.93,4751.42,4752,174.9133,110.22,0,711.16,0,34.2967,106.6367,0
2023-07-28T05:02:15.0000000Z,29.93,4751.42,4752,174.87,110.22,0,713.31,0,33.67,106.22,0
2023-07-28T05:02:20.0000000Z,29.93,4751.42,4752,174.895,110.22,0,709.44,0,34.27,107.14,0
2023-07-28T05:02:25.0000000Z,29.93,4751.42,4752,174.87,110.22,0,708.15,0,33.87,106.57,0
2023-07-28T05:02:30.0000000Z,29.93,4751.42,4752,174.865,110.22,0,710.085,0,33.65,106.235,0
2023-07-28T05:02:35.0000000Z,29.93,4751.42,4752,174.84,112.98,0,710.73,0,34.08,106.81,0
2023-07-28T05:02:40.0000000Z,29.93,4751.42,4752,174.8767,110.22,0,708.1567,0,33.3133,105.8767,0
2023-07-28T05:02:45.0000000Z,29.93,4751.42,4752,174.86,110.22,0,709.44,0,34.18,106.71,0
2023-07-28T05:02:50.0000000Z,29.93,4751.42,4752,174.8533,112.06,0,709.01,0,33.2,105.8767,0
